symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
AAPL,1997-12-16,0.125,0.128348,0.125,0.12779,0.110428,185628800.0,185628800.0,0.00279,2.232,0.12705,December 16, 97,0.02232
AAPL,1997-12-15,0.126116,0.127232,0.122768,0.124442,0.107535,165894400.0,165894400.0,-0.00167,-1.324,0.12481,December 15, 97,-0.01324
AAPL,1997-12-12,0.131696,0.132813,0.125,0.126116,0.108982,160563200.0,160563200.0,-0.00558,-4.237,0.12798,December 12, 97,-0.04237
AAPL,1997-12-11,0.128906,0.130022,0.123884,0.130022,0.112357,256939200.0,256939200.0,0.00112,0.869,0.12798,December 11, 97,0.00869
AAPL,1997-12-10,0.134487,0.134487,0.129464,0.131696,0.113804,194880000.0,194880000.0,-0.00279,-2.075,0.13188,December 10, 97,-0.02075
AAPL,1997-12-09,0.138393,0.140067,0.133929,0.136161,0.117662,243051200.0,243051200.0,-0.00223,-1.611,0.13672,December 09, 97,-0.01611
AAPL,1997-12-08,0.138951,0.140625,0.137277,0.138951,0.120073,133582400.0,133582400.0,0.0,0.0,0.13895,December 08, 97,0.0
AAPL,1997-12-05,0.138951,0.142857,0.138951,0.141183,0.122002,221468800.0,221468800.0,0.00223,1.605,0.141,December 05, 97,0.01605
AAPL,1997-12-04,0.142857,0.142857,0.139509,0.139509,0.120555,199640000.0,199640000.0,-0.00335,-2.345,0.14063,December 04, 97,-0.02345
AAPL,1997-12-03,0.143415,0.143973,0.140067,0.140625,0.12152,343056000.0,343056000.0,-0.00279,-1.945,0.14156,December 03, 97,-0.01945
AAPL,1997-12-02,0.155134,0.15625,0.141741,0.141741,0.122484,396816000.0,396816000.0,-0.01339,-8.631,0.14658,December 02, 97,-0.08631
AAPL,1997-12-01,0.157924,0.160156,0.154018,0.158482,0.136951,87236800.0,87236800.0,0.00056,0.355,0.15755,December 01, 97,0.00355
AAPL,1997-11-28,0.157366,0.159598,0.155692,0.158482,0.136951,41316800.0,41316800.0,0.00112,0.712,0.15792,November 28, 97,0.00712
AAPL,1997-11-26,0.155134,0.157924,0.154018,0.15625,0.135022,60412800.0,60412800.0,0.00112,0.722,0.15606,November 26, 97,0.00722
AAPL,1997-11-25,0.157924,0.159598,0.15067,0.155134,0.134057,205430400.0,205430400.0,-0.00279,-1.767,0.15513,November 25, 97,-0.01767
AAPL,1997-11-24,0.156808,0.160714,0.15625,0.157366,0.135986,157348800.0,157348800.0,0.00056,0.357,0.15811,November 24, 97,0.00357
AAPL,1997-11-21,0.166295,0.166853,0.160714,0.162388,0.140326,97776000.0,97776000.0,-0.00391,-2.351,0.16332,November 21, 97,-0.02351
AAPL,1997-11-20,0.162388,0.166295,0.16183,0.165179,0.142737,128172800.0,128172800.0,0.00279,1.718,0.16443,November 20, 97,0.01718
AAPL,1997-11-19,0.159598,0.163504,0.159598,0.162946,0.140808,79587200.0,79587200.0,0.00335,2.099,0.16202,November 19, 97,0.02099
AAPL,1997-11-18,0.165179,0.165179,0.161272,0.161272,0.139362,146641600.0,146641600.0,-0.00391,-2.367,0.16257,November 18, 97,-0.02367
AAPL,1997-11-17,0.168527,0.169085,0.163644,0.165179,0.142737,205027200.0,205027200.0,-0.00335,-1.988,0.16597,November 17, 97,-0.01988
AAPL,1997-11-14,0.162946,0.165179,0.160714,0.164621,0.142255,135038400.0,135038400.0,0.00167,1.025,0.1635,November 14, 97,0.01025
AAPL,1997-11-13,0.160714,0.161272,0.15625,0.160714,0.13888,257521600.0,257521600.0,0.0,0.0,0.15941,November 13, 97,0.0
AAPL,1997-11-12,0.161272,0.165179,0.156808,0.157366,0.135986,208062400.0,208062400.0,-0.00391,-2.424,0.15978,November 12, 97,-0.02424
AAPL,1997-11-11,0.169643,0.169643,0.16183,0.164063,0.141773,332483200.0,332483200.0,-0.00558,-3.289,0.16518,November 11, 97,-0.03289
AAPL,1997-11-10,0.1875,0.191964,0.165179,0.166853,0.144184,1398241600.0,1398241600.0,-0.02065,-11.013,0.17467,November 10, 97,-0.11013
AAPL,1997-11-07,0.168527,0.178571,0.167411,0.176339,0.152382,795614400.0,795614400.0,0.00781,4.634,0.17411,November 07, 97,0.04634
AAPL,1997-11-06,0.168527,0.174107,0.168527,0.169643,0.146595,617086400.0,617086400.0,0.00112,0.665,0.17076,November 06, 97,0.00665
AAPL,1997-11-05,0.162946,0.166295,0.161272,0.164063,0.141773,387116800.0,387116800.0,0.00112,0.687,0.16388,November 05, 97,0.00687
AAPL,1997-11-04,0.158482,0.16183,0.15625,0.160156,0.138397,168593600.0,168593600.0,0.00167,1.054,0.15941,November 04, 97,0.01054
AAPL,1997-11-03,0.156808,0.158482,0.152344,0.155134,0.134057,126011200.0,126011200.0,-0.00167,-1.065,0.15532,November 03, 97,-0.01065
AAPL,1997-10-31,0.155134,0.155134,0.148438,0.152065,0.131405,267086400.0,267086400.0,-0.00307,-1.979,0.15188,October 31, 97,-0.01979
