label,high,low,open,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime
70.792503,71.135002,69.987503,70.449997,70.474319,117087600.0,117087600.0,0.34251,0.486,70.63834,0.00486
70.7425,70.752502,69.25,69.300003,70.424545,126508800.0,126508800.0,1.4425,2.082,70.24833,0.02082
68.7575,70.4375,68.717499,68.967499,68.448463,124814400.0,124814400.0,-0.21,-0.304,69.30417,-0.00304
69.025002,69.474998,68.050003,68.402496,68.71476,117057200.0,117057200.0,0.62251,0.91,68.85,0.0091
67.092499,69.3125,66.357498,69.07,66.790947,180991600.0,180991600.0,-1.9775,-2.863,67.5875,-0.02863
69.232498,70.419998,69.212502,69.487503,68.921326,130015200.0,130015200.0,-0.255,-0.367,69.62167,-0.00367
70.699997,71.737503,69.214996,71.172501,70.382233,215250000.0,215250000.0,-0.4725,-0.664,70.55083,-0.00664
71.672501,72.050003,70.587502,71.845001,71.350365,157125200.0,157125200.0,-0.1725,-0.24,71.43667,-0.0024
71.107498,71.582497,70.157501,70.599998,70.787903,131154400.0,131154400.0,0.5075,0.719,70.94917,0.00719
71.762497,72.0625,69.512497,70.0,71.439957,194994800.0,194994800.0,1.7625,2.518,71.1125,0.02518
68.3125,68.425003,66.457497,67.077499,68.00547,131022800.0,131022800.0,1.235,1.841,67.73167,0.01841
66.997498,67.517502,66.175003,67.175003,66.696373,162116400.0,162116400.0,-0.17751,-0.264,66.89667,-0.00264
66.517502,66.842499,65.307503,65.684998,66.218536,168895200.0,168895200.0,0.8325,1.267,66.2225,0.01267
64.857498,67.925003,64.75,67.699997,64.565994,202887200.0,202887200.0,-2.8425,-4.199,65.84417,-0.04199
65.6175,65.777496,62.345001,62.724998,65.322578,201820400.0,201820400.0,2.8925,4.611,64.58,0.04611
60.352501,61.424999,59.7425,60.700001,60.081242,129880000.0,129880000.0,-0.3475,-0.572,60.50667,-0.00572
61.232498,61.287498,59.224998,60.084999,60.957287,165934000.0,165934000.0,1.1475,1.91,60.58166,0.0191
60.227501,62.18,59.782501,61.625,59.956806,176218400.0,176218400.0,-1.3975,-2.268,60.73,-0.02268
63.572498,65.622498,63.0,63.900002,63.28677,197002000.0,197002000.0,-0.3275,-0.513,64.065,-0.00513
63.702499,63.880001,62.349998,62.685001,63.416183,167976400.0,167976400.0,1.0175,1.623,63.31083,0.01623
61.935001,63.967499,61.762501,63.1875,61.656628,204216800.0,204216800.0,-1.2525,-1.982,62.555,-0.01982
64.610001,64.669998,61.59,61.630001,64.319611,252087200.0,252087200.0,2.98,4.835,63.62333,0.04835
61.380001,64.5625,61.075001,62.6875,61.104122,303602000.0,303602000.0,-1.3075,-2.086,62.33917,-0.02086
61.720001,61.922501,58.575001,59.09,61.442596,287531200.0,287531200.0,2.63,4.451,60.73917,0.04451
56.092499,57.125,53.1525,57.02,55.840385,336752800.0,336752800.0,-0.9275,-1.627,55.45667,-0.01627
57.310001,62.9575,57.0,61.794998,57.052418,401693200.0,401693200.0,-4.485,-7.258,59.08917,-0.07258
61.195,63.209999,60.6525,61.8475,60.919952,271857200.0,271857200.0,-0.6525,-1.055,61.68583,-0.01055
61.6675,62.5,59.279999,59.942501,61.390331,300233600.0,300233600.0,1.725,2.878,61.14917,0.02878
63.215,64.402496,59.599998,61.877499,62.930878,324056000.0,324056000.0,1.3375,2.162,62.40583,0.02162
60.552502,64.769997,60.0,60.487499,60.280346,322423600.0,322423600.0,0.065,0.107,61.77417,0.00107
69.4925,69.980003,63.237499,66.222504,69.180161,370732000.0,370732000.0,3.27,4.938,67.57,0.04938
62.057499,67.5,62.0,63.985001,61.77858,418474000.0,418474000.0,-1.9275,-3.012,63.8525,-0.03012
68.857498,70.305,67.964996,69.347504,68.548012,63899700.0,63899700.0,-0.49001,-0.707,69.0425,-0.00707
71.334999,71.610001,67.342499,69.285004,71.014381,71322500.0,71322500.0,2.04999,2.959,70.09583,0.02959
66.542503,69.522499,65.75,65.9375,66.243423,71686200.0,71686200.0,0.605,0.918,67.27167,0.00918
72.2575,72.705002,70.307503,70.5,71.932739,56544200.0,56544200.0,1.7575,2.493,71.75667,0.02493
73.230003,74.887497,72.852501,73.879997,72.900864,46893200.0,46893200.0,-0.64999,-0.88,73.65667,-0.0088
75.684998,75.849998,73.282501,74.110001,75.344826,54794600.0,54794600.0,1.575,2.125,74.93917,0.02125
72.330002,76.0,71.449997,75.917503,72.004913,79868900.0,79868900.0,-3.5875,-4.726,73.26,-0.04726
74.702499,75.360001,69.43,70.57,74.366737,85349300.0,85349300.0,4.1325,5.856,73.16417,0.05856
68.339996,69.602501,64.092499,64.315002,68.032837,106721200.0,106721200.0,4.02499,6.258,67.345,0.06258
68.379997,71.5,68.239998,70.275002,68.072662,320605600.0,320605600.0,-1.895,-2.697,69.37333,-0.02697
73.162498,74.470001,71.625,71.6325,72.833664,198054800.0,198054800.0,1.53,2.136,73.08583,0.02136
72.019997,75.6325,71.532501,75.237503,71.696297,230673600.0,230673600.0,-3.21751,-4.276,73.06167,-0.04276
74.544998,76.044998,72.307503,74.315002,74.209946,222195200.0,222195200.0,0.23,0.309,74.29917,0.00309
78.262497,80.112503,77.625,79.654999,77.910744,129554000.0,129554000.0,-1.3925,-1.748,78.66667,-0.01748
80.074997,81.162498,79.552498,80.657501,79.715088,100566000.0,100566000.0,-0.5825,-0.722,80.26333,-0.00722
80.904999,81.142502,80.0,80.0,80.541367,93984000.0,93984000.0,0.905,1.131,80.6825,0.01131
79.75,79.9375,78.652496,78.839996,79.391556,152531200.0,152531200.0,0.91,1.154,79.44667,0.01154
81.237503,81.495003,80.712502,81.184998,80.872375,80113600.0,80113600.0,0.05251,0.065,81.14834,0.00065
81.217499,81.555,80.837502,81.047501,80.852463,94747600.0,94747600.0,0.17,0.21,81.20333,0.0021
81.800003,81.805,80.3675,80.3675,81.43235,113730400.0,113730400.0,1.4325,1.782,81.32417,0.01782
79.902496,80.974998,79.677498,80.900002,79.543365,94323200.0,94323200.0,-0.99751,-1.233,80.185,-0.01233
80.387497,80.387497,78.462502,78.544998,80.026192,109348800.0,109348800.0,1.8425,2.346,79.74583,0.02346
80.0075,80.849998,79.5,80.592499,79.647896,117684000.0,117684000.0,-0.585,-0.726,80.11917,-0.00726
81.302498,81.305,80.065002,80.642502,80.745445,105425600.0,105425600.0,0.66,0.818,80.89083,0.00818
80.362503,81.190002,79.737503,80.879997,79.811897,118826800.0,118826800.0,-0.51749,-0.64,80.43,-0.0064
79.712502,79.910004,78.407501,78.827499,79.166336,136616400.0,136616400.0,0.885,1.123,79.34334,0.01123
77.165001,78.372498,75.555,76.074997,76.636299,173985600.0,173985600.0,1.09,1.433,77.03083,0.01433
77.377502,80.669998,77.072502,80.232498,76.847343,199588400.0,199588400.0,-2.855,-3.558,78.37333,-0.03558
80.967499,81.022499,79.6875,80.135002,80.412743,126743200.0,126743200.0,0.8325,1.039,80.55917,0.01039
81.084999,81.962502,80.345001,81.112503,80.529434,216229200.0,216229200.0,-0.0275,-0.034,81.13083,-0.00034
79.422501,79.599998,78.047501,78.150002,78.878326,162234000.0,162234000.0,1.2725,1.628,79.02333,0.01628
77.237503,77.942497,76.220001,77.514999,76.708298,161940000.0,161940000.0,-0.2775,-0.358,77.13333,-0.00358
79.577499,80.832497,79.379997,80.0625,79.032265,146537600.0,146537600.0,-0.485,-0.606,79.93,-0.00606
79.807503,79.889999,78.912498,79.480003,79.260696,104472000.0,104472000.0,0.3275,0.412,79.53667,0.00412
79.425003,79.997498,79.327499,79.644997,78.880821,101832400.0,101832400.0,-0.21999,-0.276,79.58333,-0.00276
79.142502,79.754997,79.0,79.297501,78.60025,110843200.0,110843200.0,-0.155,-0.195,79.29917,-0.00195
79.682503,79.684998,78.75,79.067497,79.136551,137816400.0,137816400.0,0.61501,0.778,79.3725,0.00778
78.809998,78.925003,78.022499,78.397499,78.27002,108829200.0,108829200.0,0.4125,0.526,78.58583,0.00526
77.834999,78.875,77.387497,77.962502,77.301704,121923600.0,121923600.0,-0.1275,-0.164,78.0325,-0.00164
78.169998,79.392502,78.042503,79.175003,77.634407,161954400.0,161954400.0,-1.005,-1.269,78.535,-0.01269
79.239998,79.267502,77.787498,77.910004,78.697075,121532000.0,121532000.0,1.32999,1.707,78.765,0.01707
77.582497,78.167503,77.0625,77.650002,77.050926,140644800.0,140644800.0,-0.0675,-0.087,77.60417,-0.00087
77.407501,77.607498,76.550003,76.809998,76.877136,170108400.0,170108400.0,0.5975,0.778,77.18833,0.00778
75.797501,76.110001,74.290001,74.290001,75.27816,132079200.0,132079200.0,1.5075,2.029,75.39917,0.02029
74.597504,75.224998,74.370003,74.959999,74.086395,108872000.0,108872000.0,-0.36249,-0.484,74.73084,-0.00484
74.949997,74.989998,73.1875,73.447502,74.43647,118387200.0,118387200.0,1.50249,2.046,74.37583,0.02046
74.357498,75.144997,74.125,74.287498,73.84803,146322800.0,146322800.0,0.07,0.094,74.5425,0.00094
75.087502,75.150002,73.797501,74.059998,74.573036,135480400.0,135480400.0,1.0275,1.387,74.67833,0.01387
73.412498,73.419998,72.379997,72.482498,72.9095,100805600.0,100805600.0,0.93,1.283,73.07083,0.01283
72.879997,73.172501,71.305,72.364998,72.380653,144114400.0,144114400.0,0.515,0.712,72.4525,0.00712
72.449997,73.4925,72.029999,72.779999,71.953598,146266000.0,146266000.0,-0.33,-0.453,72.6575,-0.00453
72.477501,72.495003,71.175003,71.205002,71.980911,93121200.0,93121200.0,1.2725,1.787,72.04917,0.01787
